IQ;age;Mjob;traveltime;studytime;failures;freetime;absences;IQ
D;18.00;3;1.00;2.00;0.00;3.00;8.00;D
C;16.00;3;1.00;1.00;0.00;3.00;0.00;C
E;18.00;4;2.00;1.00;0.00;4.00;8.00;E
C;16.00;1;3.00;2.00;1.00;3.00;4.00;C
E;18.00;4;1.00;1.00;2.00;2.00;4.00;E
C;16.00;3;2.00;1.00;0.00;3.00;2.00;C
C;17.00;3;1.00;1.00;0.00;4.00;0.00;C
D;17.00;2;2.00;1.00;1.00;4.00;0.00;D
C;18.00;3;1.00;2.00;0.00;3.00;2.00;C
B;17.00;5;1.00;4.00;0.00;2.00;2.00;B
C;19.00;4;1.00;2.00;0.00;3.00;0.00;C
C;18.00;4;3.00;2.00;1.00;4.00;4.00;C
C;17.00;3;1.00;3.00;0.00;3.00;2.00;C
C;18.00;3;1.00;3.00;0.00;4.00;4.00;C
C;18.00;3;1.00;2.00;0.00;2.00;4.00;C
C;19.00;4;1.00;2.00;0.00;3.00;4.00;C
A;18.00;3;1.00;2.00;0.00;2.00;2.00;A
D;17.00;3;2.00;1.00;0.00;2.00;0.00;D
C;17.00;4;1.00;4.00;0.00;4.00;2.00;C
C;20.00;3;2.00;2.00;0.00;2.00;8.00;C
B;18.00;4;1.00;2.00;0.00;1.00;2.00;B
C;18.00;5;1.00;2.00;0.00;3.00;2.00;C
C;18.00;3;1.00;3.00;0.00;3.00;2.00;C
C;17.00;3;1.00;3.00;0.00;2.00;2.00;C
C;18.00;1;1.00;3.00;0.00;3.00;0.00;C
D;17.00;3;2.00;1.00;0.00;4.00;8.00;D
B;18.00;3;2.00;2.00;0.00;2.00;6.00;B
C;17.00;4;1.00;2.00;0.00;4.00;0.00;C
C;18.00;5;2.00;2.00;0.00;3.00;8.00;C
C;18.00;2;1.00;2.00;0.00;4.00;4.00;C
D;18.00;3;2.00;2.00;0.00;3.00;12.00;D
C;19.00;3;1.00;2.00;0.00;3.00;16.00;C
A;18.00;3;1.00;4.00;0.00;5.00;10.00;A
C;18.00;3;2.00;2.00;0.00;4.00;2.00;C
A;17.00;1;1.00;2.00;0.00;5.00;2.00;A
B;18.00;3;1.00;2.00;0.00;2.00;8.00;B
B;17.00;1;2.00;2.00;0.00;3.00;6.00;B
C;17.00;4;2.00;2.00;0.00;4.00;6.00;C
C;18.00;3;2.00;2.00;0.00;1.00;15.00;C
C;18.00;5;2.00;1.00;0.00;2.00;6.00;C
C;18.00;2;1.00;2.00;1.00;4.00;2.00;C
B;17.00;3;3.00;3.00;0.00;2.00;8.00;B
D;19.00;4;1.00;2.00;1.00;3.00;0.00;D
C;18.00;5;2.00;1.00;0.00;2.00;0.00;C
C;18.00;1;2.00;1.00;0.00;4.00;10.00;C
C;17.00;4;2.00;1.00;0.00;5.00;22.00;C
C;17.00;5;1.00;1.00;0.00;4.00;18.00;C
A;18.00;1;2.00;4.00;0.00;2.00;2.00;A
C;18.00;3;2.00;2.00;0.00;4.00;0.00;C
C;17.00;3;1.00;2.00;0.00;4.00;12.00;C
C;18.00;3;2.00;2.00;0.00;3.00;10.00;C
C;17.00;3;1.00;2.00;0.00;3.00;0.00;C
A;18.00;1;1.00;3.00;0.00;3.00;0.00;A
C;17.00;4;1.00;3.00;0.00;3.00;0.00;C
B;18.00;4;1.00;3.00;0.00;2.00;0.00;B
A;18.00;5;1.00;2.00;0.00;4.00;0.00;A
B;18.00;5;1.00;2.00;0.00;3.00;2.00;B
A;17.00;2;1.00;3.00;0.00;2.00;0.00;A
A;17.00;4;2.00;4.00;0.00;1.00;0.00;A
B;18.00;4;2.00;3.00;0.00;4.00;0.00;B
B;17.00;2;1.00;1.00;0.00;4.00;0.00;B
C;19.00;2;2.00;2.00;0.00;3.00;2.00;C
C;18.00;3;2.00;2.00;0.00;4.00;0.00;C
A;18.00;3;1.00;4.00;0.00;3.00;0.00;A
A;18.00;5;1.00;1.00;0.00;4.00;0.00;A
B;18.00;2;1.00;2.00;0.00;2.00;0.00;B
C;17.00;3;2.00;1.00;0.00;1.00;0.00;C
E;17.00;4;2.00;3.00;0.00;3.00;0.00;E
A;17.00;3;2.00;3.00;0.00;3.00;0.00;A
A;17.00;2;1.00;4.00;0.00;2.00;0.00;A
C;19.00;1;2.00;3.00;1.00;3.00;0.00;C
B;20.00;4;1.00;1.00;2.00;5.00;0.00;B
C;19.00;3;1.00;2.00;0.00;5.00;0.00;C
C;18.00;3;1.00;2.00;0.00;4.00;2.00;C
C;18.00;4;2.00;2.00;0.00;3.00;2.00;C
C;17.00;3;2.00;2.00;0.00;2.00;2.00;C
A;17.00;5;1.00;1.00;0.00;4.00;2.00;A
B;18.00;3;1.00;3.00;0.00;3.00;2.00;B
C;18.00;2;2.00;1.00;0.00;2.00;8.00;C
B;17.00;1;1.00;3.00;0.00;3.00;2.00;B
C;18.00;1;1.00;2.00;0.00;1.00;8.00;C
C;19.00;2;2.00;2.00;0.00;4.00;9.00;C
C;18.00;5;1.00;2.00;0.00;4.00;0.00;C
C;18.00;3;1.00;1.00;0.00;4.00;4.00;C
B;17.00;2;1.00;1.00;0.00;3.00;2.00;B
B;17.00;4;1.00;2.00;0.00;2.00;14.00;B
C;17.00;4;1.00;2.00;0.00;3.00;0.00;C
C;17.00;3;1.00;2.00;0.00;2.00;2.00;C
D;18.00;3;1.00;1.00;0.00;2.00;2.00;D
C;19.00;3;3.00;3.00;0.00;5.00;12.00;C
D;19.00;3;3.00;2.00;2.00;3.00;2.00;D
C;18.00;3;1.00;1.00;0.00;3.00;2.00;C
C;17.00;3;1.00;2.00;0.00;2.00;4.00;C
C;17.00;4;1.00;3.00;0.00;3.00;0.00;C
A;17.00;4;1.00;3.00;0.00;4.00;0.00;A
B;17.00;1;2.00;3.00;0.00;3.00;0.00;B
B;18.00;3;2.00;3.00;0.00;5.00;0.00;B
C;18.00;3;1.00;3.00;0.00;3.00;0.00;C
A;17.00;3;1.00;1.00;0.00;3.00;0.00;A
C;17.00;4;4.00;1.00;0.00;4.00;2.00;C
C;17.00;5;1.00;3.00;0.00;4.00;0.00;C
B;17.00;5;2.00;3.00;0.00;3.00;4.00;B
C;17.00;1;1.00;1.00;0.00;2.00;2.00;C
C;18.00;3;1.00;4.00;0.00;5.00;0.00;C
C;19.00;1;1.00;1.00;0.00;3.00;0.00;C
D;18.00;1;4.00;2.00;0.00;2.00;2.00;D
B;17.00;1;1.00;3.00;0.00;4.00;0.00;B
B;18.00;3;1.00;1.00;0.00;4.00;6.00;B
C;18.00;4;1.00;2.00;0.00;3.00;8.00;C
C;18.00;3;1.00;2.00;0.00;3.00;0.00;C
C;18.00;1;2.00;4.00;0.00;4.00;6.00;C
C;17.00;4;1.00;3.00;0.00;4.00;8.00;C
C;17.00;3;1.00;2.00;0.00;3.00;0.00;C
B;18.00;4;1.00;4.00;0.00;3.00;4.00;B
B;17.00;3;1.00;2.00;0.00;3.00;0.00;B
C;18.00;5;1.00;2.00;0.00;3.00;0.00;C
A;18.00;4;1.00;2.00;0.00;3.00;6.00;A
C;17.00;1;1.00;2.00;0.00;3.00;18.00;C
C;18.00;1;1.00;3.00;0.00;3.00;0.00;C
B;18.00;3;1.00;3.00;0.00;4.00;4.00;B
B;18.00;5;1.00;3.00;0.00;3.00;4.00;B
C;18.00;5;1.00;3.00;0.00;4.00;0.00;C
C;17.00;2;1.00;3.00;0.00;4.00;0.00;C
B;17.00;4;2.00;2.00;0.00;3.00;10.00;B
B;17.00;4;1.00;2.00;0.00;3.00;4.00;B
C;19.00;1;2.00;1.00;1.00;2.00;16.00;C
C;17.00;3;1.00;1.00;1.00;1.00;6.00;C
C;21.00;3;1.00;3.00;2.00;3.00;0.00;C
C;18.00;4;1.00;2.00;0.00;4.00;11.00;C
B;18.00;3;1.00;2.00;0.00;3.00;9.00;B
B;17.00;4;1.00;2.00;0.00;3.00;0.00;B
B;17.00;2;1.00;3.00;0.00;4.00;2.00;B
A;18.00;5;1.00;2.00;0.00;2.00;0.00;A
D;21.00;1;2.00;2.00;2.00;3.00;21.00;D
C;20.00;3;2.00;3.00;0.00;2.00;8.00;C
C;19.00;5;1.00;1.00;1.00;2.00;5.00;C
A;17.00;3;1.00;2.00;0.00;4.00;10.00;A
A;18.00;1;1.00;3.00;0.00;3.00;5.00;A
C;18.00;3;1.00;1.00;0.00;1.00;13.00;C
D;19.00;3;1.00;1.00;0.00;3.00;10.00;D
A;18.00;4;2.00;2.00;0.00;1.00;10.00;A
D;20.00;3;2.00;1.00;1.00;3.00;5.00;D
C;18.00;4;1.00;2.00;0.00;1.00;4.00;C
C;16.00;1;2.00;1.00;0.00;3.00;11.00;C
C;16.00;3;2.00;2.00;0.00;4.00;0.00;C
C;15.00;1;1.00;1.00;1.00;1.00;6.00;C
C;15.00;1;2.00;1.00;0.00;4.00;4.00;C
A;16.00;1;2.00;2.00;0.00;5.00;0.00;A
E;15.00;1;2.00;1.00;0.00;3.00;0.00;E
C;16.00;1;1.00;2.00;0.00;3.00;5.00;C
C;16.00;3;1.00;3.00;0.00;4.00;0.00;C
C;17.00;1;1.00;2.00;1.00;5.00;0.00;C
E;17.00;3;1.00;1.00;1.00;4.00;0.00;E
C;15.00;5;2.00;1.00;0.00;5.00;0.00;C
C;16.00;1;2.00;4.00;0.00;2.00;4.00;C
C;15.00;1;2.00;2.00;0.00;4.00;0.00;C
E;15.00;3;2.00;1.00;1.00;4.00;4.00;E
C;16.00;3;2.00;1.00;0.00;2.00;0.00;C
C;17.00;3;2.00;1.00;0.00;5.00;2.00;C
B;15.00;3;2.00;1.00;0.00;1.00;0.00;B
F;16.00;1;2.00;2.00;0.00;4.00;0.00;F
D;17.00;3;1.00;2.00;0.00;4.00;4.00;D
C;15.00;2;1.00;2.00;0.00;3.00;0.00;C
D;15.00;2;1.00;2.00;0.00;3.00;7.00;D
C;16.00;3;3.00;2.00;0.00;4.00;4.00;C
D;15.00;3;4.00;2.00;0.00;4.00;8.00;D
C;15.00;1;1.00;2.00;0.00;3.00;0.00;C
D;17.00;3;3.00;1.00;0.00;5.00;8.00;D
A;16.00;5;2.00;3.00;0.00;2.00;6.00;A
C;15.00;3;2.00;1.00;0.00;1.00;3.00;C
B;16.00;3;3.00;2.00;0.00;5.00;2.00;B
C;16.00;3;2.00;2.00;0.00;3.00;0.00;C
C;16.00;3;3.00;2.00;0.00;4.00;4.00;C
D;16.00;3;1.00;3.00;1.00;3.00;0.00;D
D;16.00;3;1.00;3.00;1.00;3.00;3.00;D
D;15.00;1;1.00;2.00;0.00;4.00;0.00;D
B;16.00;1;1.00;2.00;0.00;4.00;0.00;B
C;17.00;1;1.00;1.00;0.00;5.00;4.00;C
C;16.00;3;4.00;4.00;0.00;3.00;0.00;C
D;16.00;1;4.00;3.00;0.00;4.00;2.00;D
C;15.00;1;2.00;2.00;0.00;3.00;1.00;C
C;16.00;1;2.00;1.00;0.00;2.00;0.00;C
C;15.00;1;3.00;2.00;0.00;2.00;0.00;C
C;15.00;3;1.00;3.00;0.00;4.00;2.00;C
C;16.00;1;2.00;1.00;0.00;4.00;6.00;C
D;18.00;3;1.00;2.00;1.00;4.00;9.00;D
C;15.00;3;2.00;1.00;0.00;2.00;0.00;C
C;16.00;3;3.00;2.00;0.00;3.00;1.00;C
C;15.00;2;3.00;1.00;0.00;3.00;1.00;C
C;16.00;3;1.00;2.00;0.00;3.00;0.00;C
C;15.00;4;1.00;2.00;0.00;5.00;4.00;C
C;16.00;1;2.00;2.00;1.00;4.00;2.00;C
B;16.00;3;3.00;1.00;0.00;3.00;0.00;B
D;16.00;1;2.00;1.00;0.00;4.00;4.00;D
C;15.00;1;3.00;1.00;0.00;2.00;2.00;C
C;15.00;3;2.00;3.00;0.00;3.00;0.00;C
D;16.00;3;1.00;1.00;0.00;4.00;2.00;D
C;15.00;4;2.00;1.00;0.00;3.00;11.00;C
E;16.00;1;2.00;2.00;3.00;4.00;0.00;E
D;17.00;3;1.00;1.00;0.00;5.00;4.00;D
D;19.00;1;1.00;1.00;1.00;4.00;0.00;D
C;17.00;1;3.00;1.00;0.00;5.00;2.00;C
D;15.00;1;2.00;1.00;0.00;2.00;0.00;D
C;16.00;3;3.00;2.00;0.00;4.00;1.00;C
E;16.00;3;1.00;1.00;0.00;3.00;6.00;E
C;17.00;1;2.00;2.00;0.00;3.00;0.00;C
D;16.00;3;1.00;1.00;1.00;4.00;1.00;D
D;18.00;3;2.00;3.00;2.00;3.00;6.00;D
D;19.00;1;1.00;3.00;1.00;3.00;6.00;D
D;18.00;3;2.00;1.00;1.00;4.00;0.00;D
C;18.00;1;2.00;1.00;1.00;2.00;4.00;C
D;19.00;3;2.00;2.00;1.00;1.00;12.00;D
D;16.00;2;1.00;2.00;0.00;3.00;2.00;D
D;17.00;3;2.00;1.00;0.00;4.00;5.00;D
D;16.00;1;1.00;2.00;0.00;4.00;0.00;D
C;16.00;3;1.00;1.00;0.00;5.00;0.00;C
B;16.00;4;1.00;1.00;0.00;4.00;2.00;B
C;17.00;4;2.00;4.00;1.00;4.00;0.00;C
C;16.00;3;1.00;2.00;0.00;3.00;0.00;C
A;16.00;4;1.00;1.00;0.00;2.00;0.00;A
E;17.00;3;1.00;1.00;1.00;3.00;12.00;E
C;16.00;3;1.00;1.00;0.00;2.00;8.00;C
D;17.00;4;3.00;4.00;1.00;3.00;2.00;D
B;16.00;3;1.00;4.00;0.00;2.00;0.00;B
C;19.00;3;1.00;3.00;0.00;4.00;0.00;C
C;17.00;1;2.00;1.00;0.00;4.00;0.00;C
C;20.00;1;2.00;2.00;1.00;3.00;8.00;C
C;17.00;3;1.00;3.00;0.00;3.00;0.00;C
D;17.00;3;3.00;1.00;1.00;4.00;0.00;D
A;16.00;1;3.00;2.00;0.00;3.00;0.00;A
A;17.00;3;2.00;2.00;0.00;3.00;0.00;A
C;17.00;3;2.00;2.00;0.00;4.00;1.00;C
E;18.00;1;1.00;2.00;1.00;3.00;9.00;E
E;16.00;3;1.00;1.00;0.00;1.00;0.00;E
E;16.00;4;1.00;1.00;0.00;1.00;2.00;E
D;18.00;3;2.00;2.00;0.00;3.00;8.00;D
B;16.00;2;1.00;2.00;0.00;3.00;0.00;B
B;16.00;3;2.00;1.00;0.00;4.00;0.00;B
E;18.00;3;1.00;2.00;1.00;3.00;8.00;E
E;16.00;3;2.00;2.00;0.00;2.00;0.00;E
E;16.00;1;3.00;2.00;0.00;3.00;6.00;E
D;16.00;1;2.00;2.00;0.00;3.00;0.00;D
D;16.00;2;1.00;2.00;0.00;3.00;4.00;D
E;18.00;1;1.00;4.00;0.00;5.00;2.00;E
D;16.00;1;3.00;2.00;0.00;2.00;2.00;D
B;17.00;3;1.00;3.00;0.00;4.00;0.00;B
C;17.00;3;1.00;1.00;0.00;2.00;1.00;C
D;16.00;4;4.00;3.00;0.00;1.00;0.00;D
D;17.00;1;1.00;1.00;0.00;1.00;5.00;D
C;16.00;4;2.00;1.00;0.00;1.00;1.00;C
D;17.00;4;1.00;1.00;0.00;1.00;8.00;D
C;17.00;1;3.00;2.00;0.00;1.00;0.00;C
D;16.00;2;2.00;2.00;0.00;2.00;2.00;D
B;16.00;3;1.00;2.00;0.00;2.00;0.00;B
C;16.00;5;1.00;1.00;0.00;1.00;0.00;C
C;15.00;3;3.00;2.00;0.00;5.00;11.00;C
C;15.00;3;3.00;4.00;0.00;4.00;8.00;C
C;15.00;4;1.00;1.00;0.00;3.00;11.00;C
C;16.00;3;1.00;3.00;0.00;3.00;2.00;C
D;16.00;3;2.00;2.00;0.00;2.00;8.00;D
C;17.00;1;2.00;1.00;0.00;3.00;5.00;C
C;17.00;3;2.00;2.00;0.00;1.00;0.00;C
C;16.00;5;2.00;3.00;0.00;3.00;1.00;C
D;17.00;2;3.00;1.00;3.00;3.00;2.00;D
C;17.00;3;2.00;1.00;0.00;1.00;2.00;C
D;17.00;4;1.00;2.00;1.00;4.00;8.00;D
B;17.00;2;1.00;2.00;0.00;2.00;0.00;B
C;16.00;3;1.00;1.00;0.00;1.00;0.00;C
C;17.00;1;1.00;2.00;0.00;5.00;2.00;C
A;17.00;3;2.00;2.00;0.00;3.00;0.00;A
C;16.00;3;2.00;2.00;0.00;1.00;0.00;C
C;17.00;3;2.00;2.00;0.00;1.00;0.00;C
D;19.00;3;1.00;2.00;2.00;4.00;2.00;D
C;17.00;3;1.00;1.00;0.00;1.00;4.00;C
C;17.00;1;2.00;1.00;0.00;5.00;3.00;C
C;16.00;3;1.00;3.00;0.00;3.00;5.00;C
C;16.00;3;1.00;1.00;0.00;4.00;4.00;C
D;17.00;3;2.00;2.00;3.00;4.00;2.00;D
C;17.00;3;2.00;1.00;0.00;5.00;0.00;C
C;18.00;1;3.00;1.00;1.00;3.00;0.00;C
D;17.00;3;2.00;1.00;0.00;5.00;0.00;D
D;18.00;1;2.00;2.00;0.00;3.00;6.00;D
C;16.00;3;1.00;2.00;0.00;4.00;0.00;C
F;17.00;3;1.00;1.00;1.00;2.00;0.00;F
C;16.00;4;2.00;1.00;0.00;5.00;2.00;C
D;16.00;1;2.00;1.00;0.00;5.00;0.00;D
D;18.00;4;2.00;1.00;1.00;3.00;2.00;D
F;18.00;4;1.00;1.00;1.00;3.00;0.00;F
D;19.00;1;2.00;1.00;3.00;2.00;4.00;D
E;18.00;1;1.00;2.00;2.00;4.00;9.00;E
E;16.00;4;2.00;1.00;0.00;4.00;6.00;E
D;19.00;1;2.00;1.00;3.00;4.00;4.00;D
E;16.00;4;2.00;2.00;2.00;5.00;8.00;E
D;17.00;3;1.00;1.00;0.00;3.00;9.00;D
D;20.00;3;2.00;1.00;1.00;4.00;12.00;D
C;18.00;4;1.00;1.00;0.00;4.00;8.00;C
C;18.00;3;2.00;1.00;0.00;5.00;8.00;C
C;19.00;3;3.00;2.00;1.00;4.00;8.00;C
D;17.00;2;2.00;2.00;1.00;5.00;4.00;D
D;18.00;1;1.00;1.00;0.00;3.00;0.00;D
D;19.00;3;3.00;1.00;1.00;4.00;4.00;D
E;18.00;1;2.00;2.00;2.00;3.00;2.00;E
E;19.00;1;1.00;1.00;0.00;4.00;0.00;E
E;18.00;3;2.00;1.00;1.00;5.00;0.00;E
C;17.00;1;2.00;1.00;0.00;4.00;0.00;C
E;17.00;3;2.00;3.00;0.00;2.00;5.00;E
E;17.00;5;1.00;2.00;0.00;5.00;0.00;E
E;18.00;4;1.00;2.00;1.00;3.00;3.00;E
D;17.00;2;1.00;1.00;0.00;2.00;0.00;D
D;17.00;1;1.00;1.00;0.00;5.00;0.00;D
E;18.00;3;3.00;2.00;2.00;4.00;3.00;E
C;18.00;4;2.00;2.00;0.00;3.00;2.00;C
C;17.00;4;2.00;1.00;0.00;4.00;0.00;C
C;18.00;1;2.00;2.00;0.00;4.00;0.00;C
A;18.00;5;2.00;2.00;0.00;3.00;0.00;A
A;18.00;4;1.00;1.00;0.00;4.00;3.00;A
A;17.00;3;2.00;2.00;0.00;3.00;0.00;A
F;18.00;1;3.00;2.00;1.00;3.00;0.00;F
C;18.00;1;2.00;1.00;0.00;1.00;8.00;C
C;18.00;1;3.00;1.00;0.00;5.00;5.00;C
C;17.00;3;3.00;1.00;0.00;2.00;4.00;C
D;18.00;3;2.00;2.00;0.00;3.00;4.00;D
C;18.00;4;2.00;3.00;0.00;4.00;0.00;C
F;18.00;5;1.00;2.00;0.00;3.00;0.00;F
D;18.00;1;3.00;2.00;1.00;4.00;2.00;D
F;19.00;1;2.00;1.00;1.00;5.00;0.00;F
A;17.00;5;2.00;4.00;0.00;2.00;0.00;A
C;17.00;4;2.00;2.00;0.00;3.00;5.00;C
D;18.00;1;1.00;2.00;0.00;2.00;2.00;D
C;18.00;1;2.00;2.00;0.00;1.00;0.00;C
F;19.00;1;2.00;2.00;3.00;5.00;0.00;F
B;18.00;4;2.00;3.00;0.00;2.00;5.00;B
C;17.00;4;2.00;2.00;1.00;5.00;4.00;C
C;18.00;4;1.00;2.00;0.00;3.00;0.00;C
C;17.00;5;2.00;2.00;0.00;3.00;2.00;C
B;17.00;4;2.00;2.00;0.00;2.00;0.00;B
C;18.00;3;2.00;1.00;0.00;3.00;2.00;C
A;18.00;1;2.00;3.00;0.00;3.00;0.00;A
B;18.00;1;3.00;2.00;0.00;3.00;0.00;B
C;18.00;4;2.00;2.00;0.00;3.00;6.00;C
B;17.00;1;1.00;2.00;0.00;3.00;4.00;B
C;17.00;3;2.00;2.00;0.00;2.00;0.00;C
D;18.00;1;2.00;2.00;0.00;3.00;0.00;D
B;18.00;5;2.00;3.00;0.00;2.00;0.00;B
D;17.00;3;3.00;1.00;1.00;2.00;0.00;D
C;18.00;1;2.00;1.00;0.00;2.00;0.00;C
E;18.00;3;3.00;2.00;0.00;2.00;0.00;E
D;18.00;1;3.00;1.00;0.00;3.00;3.00;D
C;17.00;3;1.00;3.00;0.00;4.00;8.00;C
D;17.00;3;1.00;1.00;0.00;5.00;4.00;D
A;18.00;3;2.00;3.00;0.00;4.00;0.00;A
C;18.00;3;4.00;3.00;0.00;3.00;4.00;C
D;19.00;1;2.00;2.00;1.00;3.00;4.00;D
C;18.00;5;1.00;2.00;0.00;4.00;1.00;C
A;18.00;3;1.00;2.00;0.00;1.00;1.00;A
D;17.00;1;1.00;2.00;0.00;5.00;10.00;D
A;18.00;5;1.00;2.00;0.00;2.00;4.00;A
E;18.00;3;2.00;1.00;0.00;4.00;0.00;E
B;17.00;3;2.00;2.00;0.00;4.00;4.00;B
E;19.00;3;2.00;1.00;1.00;3.00;0.00;E
E;18.00;3;2.00;1.00;1.00;4.00;0.00;E
B;18.00;1;2.00;3.00;0.00;3.00;0.00;B
D;17.00;5;2.00;2.00;0.00;5.00;0.00;D
D;18.00;5;3.00;1.00;0.00;4.00;4.00;D
C;19.00;4;1.00;3.00;1.00;4.00;4.00;C
B;18.00;5;1.00;2.00;0.00;3.00;4.00;B
C;18.00;3;2.00;2.00;0.00;1.00;6.00;C
C;17.00;4;2.00;1.00;0.00;4.00;6.00;C
C;18.00;4;3.00;1.00;0.00;4.00;4.00;C
A;17.00;4;2.00;4.00;0.00;1.00;0.00;A
A;17.00;4;2.00;4.00;0.00;1.00;0.00;A
