IQ;age;Mjob;traveltime;studytime;failures;freetime;absences;avgscore;Mjob
A;17;other;2;2;0;3;0;8.83;3
F;18;at_home;3;2;1;3;0;1.5;1
C;18;at_home;2;1;0;1;8;5.33;1
C;18;at_home;3;1;0;5;5;6.5;1
C;17;other;3;1;0;2;4;6.5;3
D;18;other;2;2;0;3;4;4.33;3
C;18;services;2;3;0;4;0;6;4
F;18;teacher;1;2;0;3;0;0.83;5
D;18;at_home;3;2;1;4;2;4.83;1
F;19;at_home;2;1;1;5;0;0.83;1
A;17;teacher;2;4;0;2;0;9;5
C;17;services;2;2;0;3;5;5.67;4
D;18;at_home;1;2;0;2;2;4.83;1
C;18;at_home;2;2;0;1;0;5.67;1
F;19;at_home;2;2;3;5;0;1.33;1
B;18;services;2;3;0;2;5;7.17;4
C;17;services;2;2;1;5;4;5.33;4
C;18;services;1;2;0;3;0;5;4
C;17;teacher;2;2;0;3;2;6;5
B;17;services;2;2;0;2;0;7.33;4
C;18;other;2;1;0;3;2;6.83;3
A;18;at_home;2;3;0;3;0;9;1
B;18;at_home;3;2;0;3;0;7.67;1
C;18;services;2;2;0;3;6;6.33;4
B;17;at_home;1;2;0;3;4;7.33;1
C;17;other;2;2;0;2;0;6.5;3
D;18;at_home;2;2;0;3;0;4.5;1
B;18;teacher;2;3;0;2;0;7.83;5
D;17;other;3;1;1;2;0;4.17;3
C;18;at_home;2;1;0;2;0;5;1
E;18;other;3;2;0;2;0;2;3
D;18;at_home;3;1;0;3;3;4.83;1
C;17;other;1;3;0;4;8;5.5;3
D;17;other;1;1;0;5;4;4;3
A;18;other;2;3;0;4;0;8.17;3
C;18;other;4;3;0;3;4;5.5;3
D;19;at_home;2;2;1;3;4;4;1
C;18;teacher;1;2;0;4;1;6.83;5
A;18;other;1;2;0;1;1;8;3
D;17;at_home;1;2;0;5;10;4.33;1
A;18;teacher;1;2;0;2;4;9;5
E;18;other;2;1;0;4;0;2.33;3
B;17;other;2;2;0;4;4;7.5;3
E;19;other;2;1;1;3;0;2.17;3
E;18;other;2;1;1;4;0;2.33;3
B;18;at_home;2;3;0;3;0;7.67;1
D;17;teacher;2;2;0;5;0;4.33;5
D;18;teacher;3;1;0;4;4;4.33;5
C;19;services;1;3;1;4;4;5.17;4
B;18;teacher;1;2;0;3;4;7.67;5
C;18;other;2;2;0;1;6;5.33;3
C;17;services;2;1;0;4;6;5;4
C;18;services;3;1;0;4;4;5.33;4
A;17;services;2;4;0;1;0;10;4
A;17;services;2;4;0;1;0;10;4
